id,host_id,host_name,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,city,zipcode,country,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,bed_type,price,has_availability,review_scores_rating,instant_bookable,cancellation_policy
9282409,560743,Zachary,1.0,t,West Queen Anne,Seattle,98119,United States,47.63263390932941,-122.36931844777416,House,Private room,2,1.0,1.0,Real Bed,85.00,t,10.0,f,moderate
8095168,3521823,Elise,2.0,t,West Queen Anne,Seattle,98119,United States,47.63260003819552,-122.36995243412568,Apartment,Private room,2,1.0,1.0,Futon,70.00,t,10.0,f,flexible
2746782,4016632,Jean-Marc,5.0,t,West Queen Anne,Seattle,98119,United States,47.64105215050513,-122.37508173306394,Apartment,Entire home/apt,2,0.0,1.0,Real Bed,90.00,t,9.7,f,strict
6424982,33524725,Ruth,1.0,f,West Queen Anne,Seattle,98119,United States,47.63140094589966,-122.3676901333062,House,Private room,2,1.0,1.0,Real Bed,80.00,t,9.2,f,flexible
762029,4016632,Jean-Marc,5.0,t,West Queen Anne,Seattle,98119,United States,47.64152492560981,-122.3761503724508,Camper/RV,Private room,2,1.0,2.0,Real Bed,60.00,t,9.7,f,strict
7077910,2843411,Dina,1.0,t,Adams,Seattle,98107,United States,47.66932717471968,-122.39259356469373,House,Entire home/apt,6,3.0,4.0,Real Bed,170.00,t,9.1,f,strict
3772674,18232665,Kim,1.0,t,Adams,Seattle,98107,United States,47.67407415557543,-122.3938640503292,Apartment,Entire home/apt,2,1.0,1.0,Real Bed,85.00,t,9.8,t,moderate
7021906,28770702,Mercy,4.0,t,Adams,Seattle,98107,United States,47.67362807262794,-122.38930195133072,House,Entire home/apt,12,5.0,7.0,Real Bed,465.00,t,9.6,f,strict
7618605,5326074,Mckinzy,1.0,t,Adams,Seattle,98107,United States,47.6684599605579,-122.37951599522182,Apartment,Entire home/apt,2,1.0,1.0,Real Bed,175.00,t,9.6,f,flexible
7680439,1612983,Andrea,1.0,t,Adams,Seattle,98107,United States,47.67317538409765,-122.38225959936204,House,Private room,2,1.0,1.0,Pull-out Sofa,59.00,t,9.3,f,flexible
4258515,841009,Lauren,1.0,t,Adams,Seattle,98107,United States,47.66793300136605,-122.3786524676208,Apartment,Private room,4,1.0,4.0,Real Bed,47.00,t,7.7,f,strict
1148517,6296335,Fleur,1.0,t,Adams,Seattle,98107,United States,47.67296864487422,-122.39733818247204,House,Entire home/apt,4,2.0,2.0,Real Bed,145.00,t,9.7,f,moderate
2487892,1343908,Martin,1.0,t,Adams,Seattle,98107,United States,47.66862741947888,-122.3894959253679,House,Private room,2,1.0,1.0,Futon,70.00,t,9.4,f,flexible
3038772,15473800,Lisa,1.0,t,Adams,Seattle,98107,United States,47.67011138347177,-122.39386928567664,House,Private room,2,1.0,1.0,Real Bed,55.00,t,9.4,f,moderate
699460,3587674,Patti And Benson,1.0,t,Adams,Seattle,98107,United States,47.671690500882136,-122.38523906517403,House,Private room,4,1.0,2.0,Real Bed,95.00,t,9.7,f,moderate
4085439,21066328,Debra,1.0,t,Adams,Seattle,98107,United States,47.67083617832085,-122.39253711071063,House,Private room,2,1.0,1.0,Real Bed,125.00,t,9.2,t,flexible
8053990,23228606,Elin,3.0,t,Adams,Seattle,98107,United States,47.67088677445985,-122.39302934993714,House,Private room,2,1.0,1.0,Real Bed,65.00,t,9.4,f,moderate
2686374,2231298,Chris,4.0,t,Adams,Seattle,98107,United States,47.67125039125342,-122.38263911755712,House,Entire home/apt,6,3.0,4.0,Real Bed,149.00,t,9.5,t,moderate
1956274,7466082,Vera,1.0,t,Adams,Seattle,98107,United States,47.6686920575291,-122.39608935555252,Apartment,Entire home/apt,2,1.0,1.0,Real Bed,125.00,t,10.0,f,strict
5919096,53050,Bob,2.0,t,Adams,Seattle,98107,United States,47.67141840265096,-122.38538535838536,Apartment,Entire home/apt,4,1.0,3.0,Real Bed,129.00,t,10.0,f,strict
3294243,4970133,Paula,1.0,f,Adams,Seattle,98107,United States,47.67268172430127,-122.38773072437924,Apartment,Entire home/apt,4,2.0,2.0,Real Bed,150.00,t,9.3,f,moderate
